Source:,/home/eason/Flight_logger_v2/Flight_logger_v2.kicad_sch,,,,,,
Date:,Sun 30 Jan 2022 02:21:11,,,,,,
Tool:,Eeschema 6.0.0-d3dd2cf0fa~116~ubuntu20.04.1,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,
Component Count:,57,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,
"C1, C11, ",2,10uF,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,y,Warning 10v
"C2, C3, C13, ",3,1uF,C_Small,Capacitor_SMD:C_0402_1005Metric,"Unpolarized capacitor, small symbol",y,
"C4, ",1,10nF,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,y,
"C5, C7, C8, C15, C17, C18, ",6,100nF,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,y,
"C6, C10, C14, C16, ",4,20pF,C_Small,Capacitor_SMD:C_0201_0603Metric,"Unpolarized capacitor, small symbol",y,
"C9, ",1,6.8uF,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,y,Changed to 4.7nf (16V)
"D1, ",1,LED_Green,LED,LED_SMD:LED_0402_1005Metric,Light emitting diode,y,
"D2, ",1,LED_Red,LED,LED_SMD:LED_0402_1005Metric,Light emitting diode,y,
"IC1, ",1,ESP32-C3FH4,ESP32-C3FN4,QFN50P500X500X90-33N-D,"RF System on a Chip - SoC SMD IC ESP32-C3FN4, single-core MCU, 2.4G Wi-Fi & BLE 5.0 combo, QFN 32-pin, 5*5 mm, 4 MB flash inside, -40C +85C",y,
"J1, ",1,Screw_Terminal_01x03,Screw_Terminal_01x03,TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal,"Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",y,
"L1, ",1,2.2nH,L,Inductor_SMD:L_0402_1005Metric,Inductor,y,
"L2, ",1,0.4nH,L_Small,Inductor_SMD:L_0201_0603Metric,"Inductor, small symbol",y,
"Q1, ",1,AO3401A,AO3401A,Package_TO_SOT_SMD:SOT-23,"-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23",y,
"Q2, ",1,SIS402DN-T1-GE3,SiS454DN,Package_SO:Vishay_PowerPAK_1212-8_Single,"35A Id, 20V Vds, N-Channel MOSFET, PowerPAK 1212-8 Single",y,
"R1, R2, ",2,499,R_Small,Resistor_SMD:R_0402_1005Metric,"Resistor, small symbol",y,
"R3, R5, ",2,120,R_Small,Resistor_SMD:R_0402_1005Metric,"Resistor, small symbol",y,
"R4, R6, R10, ",3,10k,R,Resistor_SMD:R_0402_1005Metric,Resistor,y,
"R7, R8, ",2,4.7k,R,Resistor_SMD:R_0402_1005Metric,Resistor,y,
"R9, ",1,0,R_Small,Resistor_SMD:R_0402_1005Metric,"Resistor, small symbol",y,
"S1, S2, ",2,TS-1187A-B-A-B,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,,y,
"U1, ",1, SPX3940AM3-L-3-3/TR,SPX2920M3-3.3_SOT223,Package_TO_SOT_SMD:SOT-223-3_TabPin2,"400mA Low drop-out regulator, Fixed Output 3.3V, SOT-223",y,
"U2, ",1,BMP388,BMP388,Sensor_barometric:BMP388,,y,
"Y1, ",1,YSX321SL 40MHZ 15PF 10PPM -40~+85,Crystal_GND24_Small,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,"Four pin crystal, GND on pins 2 and 4, small symbol",y,
